FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,inferred_ancestry,data_source,assignment_confidence,distance_to_centroid,sample_type,known_ancestry,donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,KNN_prediction,RandomForest_prediction,ml_consensus_prediction,KNN_confidence,RandomForest_confidence,ml_consensus_confidence,projection_status,final_consensus_ancestry,final_consensus_confidence,final_consensus_method
NA18528,NA18528,-0.00305589,0.0596979,-0.0192496,0.0182654,-0.000160314,-0.000895357,0.000100023,0.000521334,-0.00207723,-0.0274674,0.00494498,-0.00377506,0.00390873,-0.00653475,-0.00256864,0.00636826,-0.00291395,0.000637998,0.000639954,0.000881745,EAS,MAGE,0.56097610702733,0.00103941689617,MAGE,east asian,NA18528,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.56097610702733,Stage1_PCA
NA18531,NA18531,-0.00323896,0.0601532,-0.0175251,0.0188329,-2.46568e-05,-0.00167623,-0.000210239,-0.000642919,-0.00160348,-0.0267624,0.00608149,-0.00512394,0.00356768,-0.00797165,-0.00348834,0.0064553,-0.00168766,-0.00039445,-0.00033094,0.00149284,EAS,MAGE,0.7313520054897905,0.0006360411564968,MAGE,east asian,NA18531,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.7313520054897905,Stage1_PCA
NA18535,NA18535,-0.00324122,0.0597235,-0.0178001,0.0176029,-0.00136209,-0.000851557,6.65251e-06,7.13064e-05,-0.00187587,-0.028795,0.0066888,-0.00322439,0.00392749,-0.0071558,-0.00253469,0.00552008,-0.00240353,0.00156828,0.00056759,0.000388574,EAS,MAGE,0.5590202561096191,0.0010440474971983,MAGE,east asian,NA18535,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.5590202561096191,Stage1_PCA
NA18536,NA18536,-0.00321639,0.0607078,-0.0182125,0.0204117,4.22865e-05,-0.00205048,-0.00180698,0.000917018,0.000214623,-0.0312158,0.00571366,-0.00293348,0.00376763,-0.00481705,-0.00213029,0.00486524,-0.00206797,0.00112119,0.000799944,0.000480582,EAS,MAGE,0.8999715983846692,0.0002368235815865,MAGE,east asian,NA18536,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.8999715983846692,Stage1_PCA
NA18541,NA18541,-0.00324223,0.0602082,-0.0183391,0.0190316,-0.00105136,-0.00276502,-0.0016479,-0.000422576,-0.00220766,-0.0299986,0.00773604,-0.00365808,0.00446142,-0.00687738,-0.00217368,0.00542527,-0.0025425,0.000448904,0.00127177,-0.000306124,EAS,MAGE,0.7517978509360679,0.0005876343213484,MAGE,east asian,NA18541,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.7517978509360679,Stage1_PCA
NA18542,NA18542,-0.00294697,0.0607119,-0.018135,0.0184781,-0.00057273,-0.00127497,-0.0013029,0.000649213,-0.00097567,-0.0276487,0.00696001,-0.00188663,0.00454602,-0.00912607,-0.00288269,0.00674251,-0.00260127,9.31016e-05,0.00149184,0.0018325,EAS,MAGE,0.98268530910385,4.099362826829049e-05,MAGE,east asian,NA18542,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.98268530910385,Stage1_PCA
NA18544,NA18544,-0.0032201,0.0603902,-0.0186,0.0189456,-5.33773e-05,-0.00207403,-0.000934939,2.54745e-05,-0.00210282,-0.0300245,0.0060873,-0.00332093,0.00336468,-0.00649045,-0.00298459,0.00552175,-0.00133133,3.40781e-05,0.000981248,-1.48826e-05,EAS,MAGE,0.8229284667027638,0.0004192280795782,MAGE,east asian,NA18544,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.8229284667027638,Stage1_PCA
NA18545,NA18545,-0.00291076,0.0619096,-0.0187539,0.0220792,-0.000556801,-0.00217102,-0.000208309,0.000453888,-0.00323843,-0.0322502,0.00639496,-0.00414114,0.00393199,-0.0072168,-0.00228461,0.00552897,-0.00274852,-0.00132705,0.000686874,0.000503341,EAS,MAGE,0.5028302085602387,0.0011770809966371,MAGE,east asian,NA18545,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.5028302085602387,Stage1_PCA
NA18548,NA18548,-0.0032614,0.0604374,-0.0182609,0.0185928,0.000348942,-0.00214053,-0.000611778,-0.000147332,-0.00226102,-0.0292328,0.00758785,-0.00184636,0.00422555,-0.00750528,-0.00304365,0.00537719,-0.00200892,0.000222196,0.000143176,-0.00043653,EAS,MAGE,0.8274379074415048,0.0004085516927775,MAGE,east asian,NA18548,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.8274379074415048,Stage1_PCA
NA18553,NA18553,-0.0029663,0.0602105,-0.0189022,0.018283,0.000759075,-0.0010098,-0.000536981,0.00183594,-0.00191462,-0.0278893,0.00807099,-0.00333423,0.00518354,-0.0076461,-0.00205995,0.00568025,-0.00240775,0.000135235,0.00142881,0.000881146,EAS,MAGE,0.7785357598880501,0.0005243306269988,MAGE,east asian,NA18553,MAGE,,,CHB,EAS,Unknown,,,unknown,,,,,,,Reference,EAS,0.7785357598880501,Stage1_PCA
