donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
029_S_0914,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6066271867175647,-0.00867031,-0.0127457,0.00515391,discordant
029_S_1218,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4122983739399096,-0.00841418,-0.0116036,0.00648443,discordant
029_S_1318,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5916786746001395,-0.00872201,-0.0120875,0.00641265,discordant
029_S_2376,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6085922445243939,-0.00889987,-0.0120606,0.00413715,discordant
029_S_2395,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8042467490348999,-0.0090523,-0.0116263,0.00484686,discordant
029_S_4279,ADNI,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,0.00275269,0.0750303,-0.0149637,concordant
029_S_4290,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00540549,-0.00736483,0.00763811,concordant
029_S_4307,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6100724006087035,-0.00876481,-0.0129135,0.00580965,discordant
029_S_4327,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5928785892433036,-0.00849302,-0.0124097,0.0039818,discordant
029_S_4384,ADNI,ADNI,american indian or alaska native,HANCESTRO:0004,,,Unknown,Uncertain,0.593690742790372,-0.00881963,-0.0131232,0.00396687,discordant
029_S_4385,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6081860767543747,-0.00886185,-0.0104937,0.00612443,discordant
031_S_0294,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5881355036763745,-0.00896452,-0.0129033,0.00415071,discordant
031_S_0830,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6089791631297046,-0.00809683,-0.0129143,0.00522675,discordant
031_S_0867,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5912641075128151,-0.00907766,-0.0132529,0.00643085,discordant
031_S_1066,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6081215637319518,-0.00879775,-0.0118536,0.00830239,discordant
031_S_2018,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6073941109244008,-0.00905588,-0.0118236,0.0035902,discordant
031_S_2233,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5999758414975292,-0.00741475,-0.0103435,0.00777997,discordant
031_S_4005,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5896646099376833,-0.00856142,-0.0130653,0.00461217,discordant
031_S_4021,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4078549916585027,0.0404577,0.00292363,0.0110503,discordant
031_S_4024,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6071732626449503,-0.00890079,-0.0117503,0.00464386,discordant
031_S_4029,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6101290578884896,-0.00884217,-0.0121548,0.00604335,discordant
031_S_4032,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00617176,-0.00947851,0.00897328,concordant
031_S_4203,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00612938,-0.00987466,0.00910866,concordant
031_S_4474,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5918720330271753,-0.00917715,-0.0123391,0.00475715,discordant
031_S_4476,ADNI,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,0.00279895,0.0721336,-0.015001,concordant
031_S_4496,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6081201278155809,-0.00903163,-0.0124407,0.00525135,discordant
031_S_4590,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5878775874451606,-0.00862936,-0.0128515,0.0041955,discordant
032_S_0479,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5845337193757184,-0.00851698,-0.0126183,0.0046672,discordant
032_S_0677,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5921516339600859,-0.00853198,-0.0124855,0.00431726,discordant
032_S_0978,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048416590262961,-0.00893129,-0.0129348,0.00502531,discordant
032_S_1169,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5901814047783386,-0.00895824,-0.0132283,0.00301877,discordant
032_S_2119,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6032674655131076,-0.00863464,-0.0104002,0.00524176,discordant
032_S_2240,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6080831508929299,-0.00813481,-0.0133237,0.00501553,discordant
032_S_2247,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5882926735988248,-0.00890525,-0.0129628,0.00590298,discordant
032_S_4277,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.3989168047951079,0.0298664,-0.00190221,0.0094373,discordant
032_S_4348,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.608111525913308,-0.0091789,-0.0122185,0.00510968,discordant
032_S_4386,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6061999806961751,-0.00859861,-0.0115831,0.00634586,discordant
032_S_4429,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.589992889869477,-0.00876812,-0.0122352,0.00738768,discordant
033_S_0514,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5941524945830272,-0.00885772,-0.012467,0.00719074,discordant
033_S_0906,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931420636556859,-0.00851259,-0.0119536,0.0046794,discordant
033_S_0920,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6083001032856458,-0.00899128,-0.0125529,0.00507625,discordant
033_S_0922,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5897503365729685,-0.00925556,-0.013202,0.00538307,discordant
033_S_0923,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5930694301784319,-0.00871314,-0.0132056,0.00475245,discordant
033_S_1098,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8065460109331251,-0.00892321,-0.0112286,0.00531079,discordant
033_S_1116,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6058367738638853,-0.00928042,-0.0117666,0.00305023,discordant
033_S_4176,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6056458224875956,-0.00890295,-0.0120585,0.00642662,discordant
033_S_4177,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5925630804293758,-0.00794295,-0.0107179,0.00609007,discordant
033_S_4179,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5905087970781141,-0.00882763,-0.0115976,0.00667003,discordant
033_S_4505,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5893027274469398,-0.00903154,-0.0135537,0.00396276,discordant
033_S_4508,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.0051769,-0.00759996,0.00732493,concordant
035_S_0156,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6103284169810106,-0.0087309,-0.0117733,0.00484975,discordant
035_S_0555,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.805039798236753,-0.00876066,-0.0120893,0.00393604,discordant
035_S_0997,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00585834,-0.00774804,0.00876219,concordant
035_S_2061,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00505519,-0.00721729,0.00678376,concordant
035_S_2074,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00548249,-0.00795468,0.0092537,concordant
035_S_2199,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6006651495810299,-0.00915541,-0.0113041,0.00697692,discordant
035_S_4082,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6091436294291058,-0.00935313,-0.0123736,0.00431698,discordant
035_S_4114,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5898391285058626,-0.00831902,-0.0130094,0.00555434,discordant
035_S_4256,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931238001234937,-0.0075272,-0.0107326,0.00681246,discordant
035_S_4414,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6073416279419074,-0.00884509,-0.0130217,0.00619494,discordant
035_S_4464,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8046776833567781,-0.00870464,-0.0124945,0.00576447,discordant
035_S_4582,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5899096711431902,-0.00898035,-0.012829,0.00464592,discordant
036_S_0672,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922554497096478,-0.00904533,-0.0128914,0.00562171,discordant
036_S_0673,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6080346542236885,-0.00879449,-0.0118204,0.00723506,discordant
036_S_0945,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922886469048873,-0.00895628,-0.0131261,0.00317235,discordant
036_S_1023,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.60884842246874,-0.0084809,-0.0116844,0.00691425,discordant
036_S_2378,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6087858106185954,-0.00870215,-0.0127095,0.00616871,discordant
036_S_2380,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5881847413768084,-0.0072536,-0.0125817,0.00666876,discordant
036_S_4430,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6068607048145782,-0.00871868,-0.0125753,0.00717873,discordant
036_S_4562,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5886326806894713,-0.00896163,-0.0125158,0.00580611,discordant
037_S_0150,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.588150067250215,-0.00888038,-0.0128158,0.0042562,discordant
037_S_0303,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6084797466223146,-0.00886274,-0.0123104,0.0061146,discordant
037_S_0467,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6061317736131203,-0.00908298,-0.0125613,0.00407542,discordant
037_S_0501,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5865234344210505,-0.00859459,-0.0121323,0.00584049,discordant
037_S_0539,ADNI,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,0.00311191,0.073613,-0.0147291,concordant
037_S_0566,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5895282980278019,-0.00879118,-0.0124689,0.00431892,discordant
