sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
NA20878,MAGE,tissue,asian,,,unknown,-0.00654379,0.0185143,0.00806776
NA20884,MAGE,tissue,asian,,,unknown,-0.0059674,0.0191253,0.00824407
NA20886,MAGE,tissue,asian,,,unknown,-0.00730549,0.0135701,0.00738049
NA20888,MAGE,tissue,asian,,,unknown,-0.0063499,0.0186683,0.00747201
NA20889,MAGE,tissue,asian,,,unknown,-0.00639893,0.0174791,0.00970904
NA20896,MAGE,tissue,asian,,,unknown,-0.00634221,0.0191179,0.007973
NA20902,MAGE,tissue,asian,,,unknown,-0.0059618,0.0191671,0.00766098
NA21098,MAGE,tissue,asian,,,unknown,-0.00619034,0.0189161,0.00792862
NA21110,MAGE,tissue,asian,,,unknown,-0.00621752,0.0181837,0.00867412
NA21111,MAGE,tissue,asian,,,unknown,-0.00640575,0.0179462,0.00628735
NA21112,MAGE,tissue,asian,,,unknown,-0.00608901,0.0187401,0.00816112
NA21120,MAGE,tissue,asian,,,unknown,-0.00661073,0.0163716,0.0061975
NA21124,MAGE,tissue,asian,,,unknown,-0.00627969,0.0188307,0.00794227
NA21127,MAGE,tissue,asian,,,unknown,-0.00614049,0.018518,0.00925956
NA21129,MAGE,tissue,asian,,,unknown,-0.00610757,0.0190366,0.00760484
NA21130,MAGE,tissue,asian,,,unknown,-0.00661979,0.017858,0.00829543
HG00096,MAGE,tissue,white,,,unknown,-0.0128098,-0.00793688,0.00888716
HG00100,MAGE,tissue,white,,,unknown,-0.0127326,-0.00815651,0.00999769
HG00105,MAGE,tissue,white,,,unknown,-0.0126639,-0.00743419,0.00987979
HG00108,MAGE,tissue,white,,,unknown,-0.0127322,-0.00796018,0.00809295
HG00110,MAGE,tissue,white,,,unknown,-0.0127843,-0.0074506,0.00969239
HG00113,MAGE,tissue,white,,,unknown,-0.0129365,-0.00812615,0.00881427
HG00114,MAGE,tissue,white,,,unknown,-0.0127001,-0.00778045,0.00879474
HG00121,MAGE,tissue,white,,,unknown,-0.013035,-0.00752114,0.00954133
HG00122,MAGE,tissue,white,,,unknown,-0.0129064,-0.00757441,0.00850779
HG00127,MAGE,tissue,white,,,unknown,-0.0129422,-0.00824057,0.00918329
HG00130,MAGE,tissue,white,,,unknown,-0.0124163,-0.00799797,0.0101736
HG00132,MAGE,tissue,white,,,unknown,-0.0128807,-0.00848536,0.00837463
HG00141,MAGE,tissue,white,,,unknown,-0.0129083,-0.00809372,0.00858872
HG00142,MAGE,tissue,white,,,unknown,-0.0126147,-0.00792406,0.0100503
HG00146,MAGE,tissue,white,,,unknown,-0.0128507,-0.00753436,0.0108568
HG00148,MAGE,tissue,white,,,unknown,-0.0128799,-0.00823229,0.00871199
HG00151,MAGE,tissue,white,,,unknown,-0.0125772,-0.00752847,0.00859849
HG00160,MAGE,tissue,white,,,unknown,-0.0128244,-0.0077999,0.00966319
HG00177,MAGE,tissue,white,,,unknown,-0.0121305,-0.000681502,0.00801311
HG00179,MAGE,tissue,white,,,unknown,-0.0121954,-0.00229172,0.00607877
HG00183,MAGE,tissue,white,,,unknown,-0.0122802,-0.00206615,0.0076299
HG00185,MAGE,tissue,white,,,unknown,-0.0122194,-0.00177906,0.0066656
HG00186,MAGE,tissue,white,,,unknown,-0.0124715,-0.00274051,0.00742721
HG00188,MAGE,tissue,white,,,unknown,-0.0125199,-0.00352164,0.00697537
HG00189,MAGE,tissue,white,,,unknown,-0.0125678,-0.00289675,0.00662125
HG00190,MAGE,tissue,white,,,unknown,-0.0125939,-0.00391751,0.00697646
HG00233,MAGE,tissue,white,,,unknown,-0.0125261,-0.00804059,0.00940781
HG00237,MAGE,tissue,white,,,unknown,-0.0126818,-0.00788037,0.00955451
HG00243,MAGE,tissue,white,,,unknown,-0.0129479,-0.00813694,0.0109555
HG00244,MAGE,tissue,white,,,unknown,-0.0126289,-0.00770696,0.0090592
HG00250,MAGE,tissue,white,,,unknown,-0.0129289,-0.00781431,0.00872325
HG00254,MAGE,tissue,white,,,unknown,-0.0124254,-0.00793351,0.00906659
HG00260,MAGE,tissue,white,,,unknown,-0.0128473,-0.0078745,0.00842758
HG00265,MAGE,tissue,white,,,unknown,-0.0130865,-0.00854428,0.00880905
HG00269,MAGE,tissue,white,,,unknown,-0.0123262,-0.00262295,0.00694385
HG00277,MAGE,tissue,white,,,unknown,-0.0127598,-0.00449776,0.00907899
HG00285,MAGE,tissue,white,,,unknown,-0.0123538,-0.00195438,0.007431
