donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,PC1,PC2
NA19762,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00432991,0.025104
NA19764,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00615046,0.0130866
NA19770,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.0060909,0.0142561
NA19773,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00765596,0.0133961
NA19774,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00545004,0.018299
NA19780,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00739122,0.0117896
NA19785,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00462939,0.0294731
NA19788,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00503622,0.0274816
NA19789,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00457001,0.0166098
NA19795,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00494074,0.0187804
NA19818,MAGE,,,ASW,AFR,EAS,,,unknown,0.0374797,-0.00777651
NA19835,MAGE,,,ASW,AFR,EAS,,,unknown,0.0439421,-0.007213
NA19901,MAGE,,,ASW,AFR,EAS,,,unknown,0.04927,-0.00749588
NA19904,MAGE,,,ASW,AFR,EAS,,,unknown,0.04319,-0.00782616
NA19908,MAGE,,,ASW,AFR,EAS,,,unknown,0.0474334,-0.00768372
NA19913,MAGE,,,ASW,AFR,EAS,,,unknown,0.0450983,-0.00679161
NA19917,MAGE,,,ASW,AFR,EAS,,,unknown,0.0491239,-0.00803926
NA19922,MAGE,,,ASW,AFR,EAS,,,unknown,0.0347636,-0.00780177
NA19923,MAGE,,,ASW,AFR,EAS,,,unknown,0.0282262,-0.00757352
NA19982,MAGE,,,ASW,AFR,EAS,,,unknown,0.0466721,-0.00737131
NA20278,MAGE,,,ASW,AFR,EAS,,,unknown,0.0203131,-0.00842553
NA20287,MAGE,,,ASW,AFR,EAS,,,unknown,0.0433433,-0.00735826
NA20294,MAGE,,,ASW,AFR,EAS,,,unknown,0.0458922,-0.00765333
NA20298,MAGE,,,ASW,AFR,EAS,,,unknown,0.0506886,-0.00708665
NA20314,MAGE,,,ASW,AFR,Unknown,,,unknown,-0.00827185,0.0278466
NA20317,MAGE,,,ASW,AFR,EAS,,,unknown,0.0355686,-0.00798789
NA20318,MAGE,,,ASW,AFR,EAS,,,unknown,0.0363032,-0.00608179
NA20320,MAGE,,,ASW,AFR,EAS,,,unknown,0.0473076,-0.00653481
NA20332,MAGE,,,ASW,AFR,EAS,,,unknown,0.0406275,-0.00743607
NA20334,MAGE,,,ASW,AFR,EAS,,,unknown,0.0307332,-0.0078392
NA20342,MAGE,,,ASW,AFR,EAS,,,unknown,0.0284532,-0.00657743
NA20351,MAGE,,,ASW,AFR,EAS,,,unknown,0.0328166,-0.00687154
NA20359,MAGE,,,ASW,AFR,EAS,,,unknown,0.0389552,-0.00774263
NA20412,MAGE,,,ASW,AFR,EAS,,,unknown,0.039377,-0.00563648
NA20502,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0116609,-0.00682172
NA20507,MAGE,,,TSI,EUR,EUR,,,unknown,-0.011537,-0.00675738
NA20511,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115209,-0.00635342
NA20513,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114901,-0.00643139
NA20522,MAGE,,,TSI,EUR,EUR,,,unknown,-0.011655,-0.00652636
NA20525,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114698,-0.0066767
NA20532,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115746,-0.00631762
NA20533,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115141,-0.00751073
NA20536,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115865,-0.00683294
NA20543,MAGE,,,TSI,EUR,EUR,,,unknown,-0.011417,-0.00713944
NA20587,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115363,-0.007062
NA20755,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115265,-0.00708215
NA20762,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114797,-0.00718965
NA20763,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0116953,-0.00711297
NA20764,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114545,-0.00689003
NA20767,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0113718,-0.00649508
NA20771,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0116577,-0.00761851
NA20775,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115019,-0.00621827
NA20778,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0117709,-0.00695214
NA20790,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114569,-0.00743111
NA20792,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0117448,-0.00643789
NA20797,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0112178,-0.00638051
NA20811,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0113633,-0.00757781
NA20815,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0114849,-0.00721382
NA20821,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0113548,-0.00633477
NA20822,MAGE,,,TSI,EUR,EUR,,,unknown,-0.011456,-0.00660666
NA20827,MAGE,,,TSI,EUR,EUR,,,unknown,-0.0115549,-0.00690786
NA20832,MAGE,,,TSI,EUR,EUR,,,unknown,-0.011419,-0.00658259
NA20847,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.006152,0.0184929
NA20850,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00791228,0.0128153
NA20856,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00640086,0.0178124
NA20859,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00634346,0.0183872
NA20862,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00793957,0.0119047
NA20866,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.0068055,0.0157797
NA20867,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.0064415,0.0178839
NA20870,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00799663,0.0106576
NA20872,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00760556,0.0122844
NA20875,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00637975,0.0183576
NA20876,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00623523,0.0180245
NA20878,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00654379,0.0185143
NA20884,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.0059674,0.0191253
NA20886,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00730549,0.0135701
NA20888,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.0063499,0.0186683
NA20889,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00639893,0.0174791
NA20896,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00634221,0.0191179
NA20902,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.0059618,0.0191671
NA21098,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00619034,0.0189161
NA21110,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00621752,0.0181837
NA21111,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00640575,0.0179462
NA21112,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00608901,0.0187401
NA21120,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00661073,0.0163716
NA21124,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00627969,0.0188307
NA21127,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00614049,0.018518
NA21129,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00610757,0.0190366
NA21130,MAGE,,,GIH,SAS,Unknown,,,unknown,-0.00661979,0.017858
HG00096,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128098,-0.00793688
HG00100,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0127326,-0.00815651
HG00105,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0126639,-0.00743419
HG00108,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0127322,-0.00796018
HG00110,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0127843,-0.0074506
HG00113,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129365,-0.00812615
HG00114,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0127001,-0.00778045
HG00121,MAGE,,,GBR,EUR,EUR,,,unknown,-0.013035,-0.00752114
HG00122,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129064,-0.00757441
HG00127,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129422,-0.00824057
HG00130,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0124163,-0.00799797
HG00132,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128807,-0.00848536
HG00141,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129083,-0.00809372
HG00142,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0126147,-0.00792406
HG00146,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128507,-0.00753436
HG00148,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128799,-0.00823229
HG00151,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0125772,-0.00752847
HG00160,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128244,-0.0077999
HG00177,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0121305,-0.000681502
HG00179,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0121954,-0.00229172
HG00183,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0122802,-0.00206615
HG00185,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0122194,-0.00177906
HG00186,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0124715,-0.00274051
HG00188,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0125199,-0.00352164
HG00189,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0125678,-0.00289675
HG00190,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0125939,-0.00391751
HG00233,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0125261,-0.00804059
HG00237,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0126818,-0.00788037
HG00243,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129479,-0.00813694
HG00244,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0126289,-0.00770696
HG00250,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0129289,-0.00781431
HG00254,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0124254,-0.00793351
HG00260,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0128473,-0.0078745
HG00265,MAGE,,,GBR,EUR,EUR,,,unknown,-0.0130865,-0.00854428
HG00269,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0123262,-0.00262295
HG00277,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0127598,-0.00449776
HG00285,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0123538,-0.00195438
HG00290,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0123002,-0.00184219
HG00304,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0122633,-0.00288676
HG00311,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0128027,-0.00465978
HG00318,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0127871,-0.00442179
HG00320,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0123358,-0.00342303
HG00325,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0125562,-0.00162562
HG00326,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0124612,-0.00305126
HG00327,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0122687,-0.00268396
HG00331,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0122971,-0.00286612
HG00335,MAGE,,,FIN,EUR,EUR,,,unknown,-0.01262,-0.00414903
HG00337,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0125855,-0.00435007
HG00342,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0123567,-0.00173375
HG00355,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0126902,-0.00389942
HG00360,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0124481,-0.00406625
HG00368,MAGE,,,FIN,EUR,EUR,,,unknown,-0.012256,-0.0018563
HG00372,MAGE,,,FIN,EUR,EUR,,,unknown,-0.0128362,-0.00311205
HG00382,MAGE,,,FIN,EUR,EUR,,,unknown,-0.012195,-0.00207034
HG00404,MAGE,,,CHS,EAS,Unknown,,,unknown,-0.0030806,0.0618867
HG00410,MAGE,,,CHS,EAS,Unknown,,,unknown,-0.00291801,0.0610939
