IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
GTEX-ZDTT,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZDXO,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZDYS,GTEx,EUR,AFR,EUR,1.0,0.34
GTEX-ZE7O,GTEx,EUR,AFR,EUR,1.0,0.41
GTEX-ZE9C,GTEx,EUR,EUR,EUR,1.0,0.29
GTEX-ZEX8,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-ZF28,GTEx,EUR,AFR,EUR,1.0,0.35
GTEX-ZF29,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-ZF2S,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-ZF3C,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-ZG7Y,GTEx,EUR,AFR,EUR,1.0,0.37
GTEX-ZGAY,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-ZLFU,GTEx,AFR,AFR,AFR,1.0,0.79
GTEX-ZLV1,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-ZLWG,GTEx,AFR,AFR,AFR,1.0,0.72
GTEX-ZP4G,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-ZPCL,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-ZPIC,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-ZPU1,GTEx,AFR,AFR,AFR,1.0,0.73
GTEX-ZQG8,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-ZQUD,GTEx,AFR,AFR,AFR,1.0,0.78
GTEX-ZT9W,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-ZT9X,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-ZTPG,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-ZTSS,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-ZTTD,GTEx,EUR,EUR,EUR,1.0,0.45
GTEX-ZTX8,GTEx,AFR,AFR,AFR,1.0,0.82
GTEX-ZU9S,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-ZUA1,GTEx,EUR,EUR,EUR,1.0,0.43
GTEX-ZV68,GTEx,EUR,EUR,EUR,1.0,0.45
GTEX-ZV6S,GTEx,EUR,EUR,EUR,1.0,0.33
GTEX-ZV7C,GTEx,AFR,AFR,AFR,1.0,0.99
GTEX-ZVE1,GTEx,EUR,AFR,EUR,1.0,0.29
GTEX-ZVE2,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZVP2,GTEx,AFR,AFR,AFR,1.0,0.83
GTEX-ZVT2,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-ZVT3,GTEx,EUR,EUR,EUR,1.0,0.31
GTEX-ZVT4,GTEx,EUR,EUR,EUR,1.0,0.43
GTEX-ZVTK,GTEx,AFR,AFR,AFR,1.0,0.54
GTEX-ZVZO,GTEx,AFR,AFR,AFR,1.0,0.8
GTEX-ZVZP,GTEx,EUR,AFR,EUR,1.0,0.3
GTEX-ZVZQ,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZWKS,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZXES,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-ZXG5,GTEx,EUR,EUR,EUR,1.0,0.33
GTEX-ZY6K,GTEx,AFR,AFR,AFR,1.0,0.79
GTEX-ZYFC,GTEx,AFR,AFR,AFR,1.0,0.8
GTEX-ZYFD,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-ZYFG,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-ZYT6,GTEx,EUR,AFR,EUR,1.0,0.35
GTEX-ZYVF,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-ZYW4,GTEx,EAS,EAS,EAS,1.0,0.98
GTEX-ZYY3,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-ZZ64,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-ZZPT,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-ZZPU,GTEx,EUR,EUR,EUR,1.0,0.46
A549,ENCODE,AMR,AMR,Uncertain,0.6000280061634576,0.28
Caki2,ENCODE,EUR,AMR,EUR,0.8001806387472781,0.4
GM23248,Unknown,EUR,SAS,EUR,0.8001009432628081,0.24
HepG2,ENCODE,AMR,EUR,AMR,1.0,0.3
K562,ENCODE,EUR,AMR,Uncertain,0.4000439072867849,0.38
NCI-H460,ENCODE,EUR,AMR,EUR,0.7996324266609613,0.33
Panc1,ENCODE,EUR,AMR,EUR,0.7998650036522947,0.29
